"A1"	"A2"	"A3"	"A4"	"A5"	"A6"
"centrostephanus.rodgersi"	-2.66942010185021	0.686456926989561	1.34143341680954	0.40153516748232	0.499011852387684	0.241608390223873
"colobocentrotus.atratus"	0.546012531989414	1.26407684504571	1.25993310312848	0.404131647049253	-0.477129250928013	-0.546548883004456
"diadema.pauicispinum"	-3.20144658013575	0.943669373157998	0.0494920446670201	-1.0363017271764	-0.485605093696073	0.242471911210473
"diadema.setosum"	1.0268332181522	0.974080146924785	-0.0850822386674571	-1.33113932022468	0.534908075896892	-0.0930234789298797
"echinometra.mathaei"	2.36952693587802	-1.00898062954008	-0.153588252635421	0.0184854068772801	-0.0520913758484772	0.258128597086046
"echinometra.oblonga"	-1.80630864633788	-2.03509191493103	-0.175312890937677	-0.28539243304982	0.0864907406525397	-0.362071196462324
"echinotrix.calamaris"	0.923397256081001	-0.899374868386569	0.38379312585023	1.24946369660683	-0.28557669940219	-0.26263153171469
"echinotrix.diademis"	1.53026354714166	-0.659488140826718	0.881286959430009	0.0492663936869899	0.00954651483991284	0.451119116372211
"heliocidaris.erythrogramma"	-1.06684269526427	0.742145910933277	-1.48224764800446	0.430240267701872	0.401378712194355	-0.1672284900162
"heterocentrotus.mammillatus"	-0.983957599314797	1.12471355851243	-1.15421998582311	0.522196569318356	-0.597906959862367	-0.0192332011537485
"heterocentrotus.trigonarius"	-1.31005991158158	-0.499929712613974	-0.364029375958852	1.35831325875247	0.650198684249261	0.146777290522788
"prionocidaris.baculosa"	1.26246262434339	-0.539283557380847	-0.901701706077567	-0.635217614045874	0.311080693382998	-0.292574390681842
"salmacis.belli"	1.30916131460548	0.196041898192891	-1.61853716758988	0.250356867246388	-0.470726738575265	0.362127685004872
"stomopneustes.variolaris"	-1.22988402964972	-2.02434841165257	0.677177191775439	-0.869078944394939	-0.403065782086344	0.0322685330051697
"toxopneustes.pileolus"	1.53243425727935	0.731474290172625	-0.0317616328986548	-0.853672111724325	0.242756067581193	-0.0681139406726144
"tripneustes.gratilla"	1.7678278786637	1.00383828540252	1.37336505693236	0.326812875894265	0.0367305592138926	0.0769235892103236
